"Qty","Value","Part Num","Package","Parts"
"1","","HEADER 1X2","1X02","J3"
"1","","HEADER 1X6","1X06","J1"
"1","","HEADER 1X10","1X10","J2"
"2","0R","0R, 0603","RESC1608X55N","R3, R4"
"2","0u1","0U1, 0603","CAPC1608X92N","C1, C6"
"3","1uF","1UF, 0603","CAPC1608X92N","C7, C8, C9"
"2","4K7","4K7, 0603","RESC1608X55N","R6, R7"
"1","10K","10K, 0603","RESC1608X55N","R2"
"2","10uF","10UF, 0805","CAPC2012X145AN","C2, C3"
"2","22pF-NC","22PF, 0603","CAPC1608X92N","C4, C5"
"1","32k-NC","32.768KHZ","CRYSTAL32SMT","X2"
"1","220K","220K, 0603","RESC1608X55N","R1"
"1","600R","FERRITE 0603 600R 0.2A","RESC1608X55N","L1"
"1","HF-NC","12MHZ, HC49/US","SM49","X1"
"1","MCP1700/TT","MCP1700T-3302E/TT","SOT95P280X135-3N","U3"
"1","MICRO-SD_JTRON","JTRON MICROSD SOCKET","JTRON-MICROSD","S1"
"1","NRF24","NRF24L01+ MODULE","NRF24L01","U2"
"1","STM32F030F4P6","STM32F030F4P6","TSSOP20","U1"
"2","TPSQTP08SQ","-","TP08SQ","!RES, BT"
